,SiteEnergyUse(kBtu),TotalGHGEmissions,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,proportion_SteamUse(kBtu),proportion_Electricity(kBtu),proportion_NaturalGas(kBtu)
1272,7442314.5,73.48,Small- and Mid-Sized Office,47.62799,-122.33132,1926,1.0,1,37740,0,1.0,0.0,0.9371005484920047,0.06289938432459419
1275,739210.5,20.64,Worship Facility,47.61876,-122.3534,2009,1.0,3,23241,0,66.0,0.0,0.5457971714416935,0.45420215216098797
1281,2003807.75,13.97,Small- and Mid-Sized Office,47.62055,-122.33881,1999,1.0,4,38038,0,84.0,0.0,0.9999996257125965,0.0
1282,2524228.25,77.8,Small- and Mid-Sized Office,47.62028,-122.33717,2007,1.0,4,40000,24596,92.0,0.0,0.48311241267504235,0.5168874882847857
1283,9190442.0,234.03,Small- and Mid-Sized Office,47.62038,-122.33759,1928,1.0,3,35404,6062,1.0,0.0,0.5991756435653476,0.4008242476259575
1285,7429423.0,86.51,Large Office,47.62004,-122.33807,2013,1.0,6,29910,100800,92.0,0.0,0.8987323780056675,0.10126748739437773
1286,1912760.75,13.33,Small- and Mid-Sized Office,47.62054,-122.33807,1926,1.0,4,35780,0,77.0,0.0,0.9999996078965966,0.0
1288,564754.1875,3.94,Mixed Use Property,47.6223,-122.35653,1964,1.0,4,17824,7308,41.0,0.0,0.9999996679971497,0.0
1294,2071670.25,77.48,Small- and Mid-Sized Office,47.60994,-122.33997,1919,1.0,4,47686,0,72.0,0.433318960872272,0.5666809184521523,0.0
1306,1717130.875,11.97,Mixed Use Property,47.61113,-122.34556,1990,1.0,4,47265,34800,91.0,0.0,1.0000000727958491,0.0
1308,1862176.875,12.98,Small- and Mid-Sized Office,47.61041,-122.34214,1910,1.0,4,36160,0,47.0,0.0,1.0000000671257396,0.0
1314,1634178.25,14.13,Small- and Mid-Sized Office,47.6123,-122.34611,1909,1.0,5,66900,0,100.0,0.0,0.963738808786618,0.036261038231294535
1320,3205182.5,22.46,Small- and Mid-Sized Office,47.6367,-122.3285,2000,1.0,3,36959,13540,13.0,0.0,0.9992454407822331,0.0007544032204094463
1321,3600571.25,41.22,Small- and Mid-Sized Office,47.63616,-122.32718,1964,1.0,5,44860,9605,68.0,0.0,0.902967827674567,0.09703210289200637
1322,4167253.75,182.81,K-12 School,47.63239,-122.32072,1930,1.0,2,45960,0,56.0,0.0,0.20028489985761005,0.7997151601339372
1326,436604.0938,3.04,Small- and Mid-Sized Office,47.61992,-122.34539,1959,1.0,2,21128,0,97.0,0.0,0.9999997851600539,0.0
1330,2804534.0,75.25,Hotel,47.62014,-122.34456,1959,1.0,4,38520,0,37.0,0.0,0.5695345465592502,0.4304654534407499
1331,867184.375,30.22,Hotel,47.62174,-122.34417,1961,1.0,3,24930,4256,95.0,0.0,0.3958027956857502,0.6041979250375678
1333,581289.0,4.05,Worship Facility,47.6201,-122.34071,1960,1.0,1,27338,0,56.0,0.0,1.0,0.0
1338,2590622.0,115.43,Small- and Mid-Sized Office,47.61954,-122.35847,1930,1.0,3,45864,0,94.0,0.0,0.18541879131729755,0.8145812086827025
1340,3485865.5,104.91,K-12 School,47.72726,-122.32835,1999,1.0,2,49252,0,23.0,0.0,0.49879979591868934,0.5012000606449102
1351,1426279.5,35.96,Small- and Mid-Sized Office,47.63245,-122.32529,1987,1.0,3,33176,0,89.0,0.0,0.6046788164591863,0.3953208329783889
1359,326001.1875,2.27,Worship Facility,47.55072,-122.30265,1977,1.0,99,21948,0,80.0,0.0,0.9999994248487208,0.0
1364,856088.625,5.97,Warehouse,47.53906,-122.32031,1977,1.0,1,29380,0,33.0,0.0,1.0000004380387604,0.0
1373,331675.0,7.07,Worship Facility,47.60321889,-122.3205567,1922,1.0,2,22688,0,87.0,0.0,0.6893133338358333,0.31068666616416674
1392,1903455.875,13.27,Small- and Mid-Sized Office,47.54693,-122.28718,1982,1.0,2,41262,0,84.0,0.0,0.9999995403098062,0.0
1408,2077039.375,86.81,Worship Facility,47.68566,-122.31849,1908,1.0,3,45680,0,79.0,0.0,0.24522982382074485,0.7547704770883316
1418,37797084.0,913.07,Senior Care Community,47.61935,-122.33389,2006,1.0,14,724148,0,8.0,0.0,0.6275189906184298,0.3724809564674354
1422,531737.1875,3.71,Worship Facility,47.53439,-122.37699,1957,1.0,1,23562,0,96.0,0.0,0.9999996473821948,0.0
1430,1351267.875,9.42,Refrigerated Warehouse,47.56067,-122.32705,1914,1.0,2,45594,0,75.0,0.0,1.0000000925057142,0.0
1432,870625.8125,18.63,Warehouse,47.56056,-122.32593,1975,1.0,1,28126,0,44.0,0.0,0.6872872265086902,0.3127129888536357
1433,378714.4063,2.64,Warehouse,47.54813,-122.32553,1964,1.0,1,35000,0,53.0,0.0,0.9999989271599041,0.0
1434,1208407.625,26.55,Warehouse,47.54948,-122.32536,1962,1.0,1,26150,0,6.0,0.0,0.6748616800560159,0.32513863026973205
1435,1088556.25,7.59,Small- and Mid-Sized Office,47.54974,-122.3261,1967,1.0,2,24000,0,73.0,0.0,0.999999770338005,0.0
1436,2478045.5,73.26,K-12 School,47.64132,-122.31644,1968,1.0,5,43594,0,38.0,0.0,0.5103748095020855,0.4896249887259939
1456,5655578.0,203.73,Senior Care Community,47.72618,-122.35642,1954,1.0,2,51298,0,85.0,0.0,0.3703612610417538,0.6296387389582462
1458,265774.9063,1.85,Worship Facility,47.72558,-122.3578,1962,1.0,1,22047,0,100.0,0.0,1.0000003525539762,0.0
1462,3363535.5,103.28,Warehouse,47.5213,-122.32182,1979,1.0,1,31600,0,3.0,0.0,0.48559202065802487,0.5144078306888689
1463,876425.0,23.9,Warehouse,47.52024,-122.32137,2007,1.0,1,35289,0,63.0,0.0,0.5600285249736144,0.4399714750263856
1464,1750419.0,80.09,Warehouse,47.51899,-122.321,1981,1.0,1,28920,0,50.0,0.0,0.15941554564935595,0.840584454350644
1465,736428.625,32.77,Warehouse,47.5193,-122.3213,1978,1.0,1,22176,0,60.0,0.0,0.18666982153226322,0.8133293297772068
1466,362874.0,9.08,Warehouse,47.51968,-122.3212,1978,1.0,1,31300,0,89.0,0.0,0.6087870720966506,0.3912129279033494
1467,700627.625,4.88,Warehouse,47.51918,-122.31957,1979,1.0,1,22000,0,14.0,0.0,1.0000005352343908,0.0
1468,3568419.5,24.88,Small- and Mid-Sized Office,47.70079,-122.32714,1974,1.0,3,39927,0,38.0,0.0,0.999999859881945,0.0
1470,1002995.0,6.99,Medical Office,47.70007,-122.32533,1980,1.0,2,20580,6350,64.0,0.0,1.0,0.0
1471,2890379.0,49.62,Medical Office,47.70087,-122.32379,1968,1.0,2,38745,0,76.0,0.0,0.7789905752844177,0.2210090787401929
1474,1645605.125,53.73,Medical Office,47.66183,-122.29264,1967,1.0,3,38378,0,86.0,0.0,0.44337489529877344,0.556625028741327
1475,1275231.75,49.73,Warehouse,47.66294,-122.29521,1980,1.0,2,33576,0,64.0,0.0,0.3059240016569537,0.694076194385844
1476,10642754.0,225.67,Supermarket / Grocery Store,47.66205,-122.29545,1975,1.0,1,33005,0,21.0,0.0,0.6915205406420181,0.30847936539733983
1488,431390.4063,17.38,Worship Facility,47.67477,-122.38241,1910,1.0,2,21765,0,80.0,0.0,0.27798949222946595,0.7220095659322501
1496,1751483.875,64.88,Worship Facility,47.6101,-122.30838,1901,1.0,2,26560,0,1.0,0.0,0.34826640924684504,0.6517336621212113
1497,116486.6016,0.81,Warehouse,47.65022,-122.34174,1957,1.0,2,20140,0,49.0,0.0,1.0000034201358314,0.0
1508,6917280.0,215.56,Retail Store,47.53846,-122.28305,1992,1.0,2,38845,0,82.0,0.0,0.47569651654985773,0.5243033388846483
1509,7619445.0,173.75,Supermarket / Grocery Store,47.53747,-122.28308,1953,1.0,1,26092,0,40.0,0.0,0.6568713338044962,0.34312866619550375
1512,1213869.75,55.3,Small- and Mid-Sized Office,47.55045,-122.32749,1967,1.0,1,25500,0,98.0,0.0,0.16373091099765852,0.8362692949552454
1518,1379932.5,60.34,K-12 School,47.6712,-122.37568,1922,1.0,3,35448,0,97.0,0.0,0.20330632114251965,0.7966933165209168
1519,9336239.0,208.53,Supermarket / Grocery Store,47.66986,-122.37418,1966,1.0,1,29214,0,8.0,0.0,0.6670010268588883,0.33299897314111176
1522,14029480.0,384.85,Supermarket / Grocery Store,47.66828,-122.37428,2000,1.0,1,46068,43035,34.0,0.0,0.5565437920721225,0.44345613664939826
1525,3035962.25,78.22,Warehouse,47.6644,-122.37246,1975,1.0,3,41478,0,3.0,0.0,0.5926895171374413,0.4073104005163437
1526,752104.0,5.24,Warehouse,47.66411,-122.37185,1980,1.0,1,39840,0,2.0,0.0,1.0,0.0
1558,786253.6875,29.24,Worship Facility,47.66327,-122.37439,1975,1.0,1,40445,0,92.0,0.0,0.3449510053967155,0.6550493920577002
1559,1137967.5,13.29,Retail Store,47.66318,-122.37283,1996,1.0,1,23500,0,53.0,0.0,0.8979896174539256,0.1020099431662152
1560,1404253.75,31.79,Retail Store,47.67518,-122.36549,1967,1.0,1,22420,0,82.0,0.0,0.6604376167768824,0.3395625612536196
1563,8518313.0,237.54,Supermarket / Grocery Store,47.64909,-122.37788,1961,1.0,1,25842,0,35.0,0.0,0.5467041420055826,0.45329585799441746
1566,858780.625,14.9,Small- and Mid-Sized Office,47.65252,-122.37587,1982,1.0,3,25859,0,88.0,0.0,0.7751770133379523,0.22482225888596405
1567,1730600.625,34.26,Warehouse,47.66238,-122.38831,1974,1.0,1,25600,0,1.0,0.0,0.7220666524375027,0.27793356425027294
1569,1294615.25,9.03,Small- and Mid-Sized Office,47.66106,-122.38576,2008,1.0,4,33385,8399,89.0,0.0,0.9999998068924338,0.0
1570,1388345.125,37.49,Warehouse,47.66206,-122.38948,1960,1.0,1,56884,0,71.0,0.0,0.5657555789667212,0.43424433099802906
1573,2017967.75,46.44,Retail Store,47.6917,-122.37617,1989,1.0,1,32810,0,66.0,0.0,0.652274051455976,0.3477260724310386
1581,657385.8125,4.58,Small- and Mid-Sized Office,47.65504,-122.37402,1961,1.0,2,20022,0,80.0,0.0,1.0000002852206367,0.0
1582,520011.8125,14.81,Distribution Center,47.65563,-122.37194,1960,1.0,2,36498,0,89.0,0.0,0.5338878720182919,0.4661124885504404
1584,845044.125,5.94,Small- and Mid-Sized Office,47.66006,-122.38631,2007,1.0,4,24472,5680,96.0,0.0,0.9988448828041968,0.0011549692745334453
1585,727385.8125,5.07,Small- and Mid-Sized Office,47.65881,-122.38382,1979,1.0,4,22365,0,71.0,0.0,1.0000002577724183,0.0
1586,904059.875,6.3,Small- and Mid-Sized Office,47.65801,-122.3839,1994,1.0,4,30172,0,82.0,0.0,1.0000001382651784,0.0
1590,241478.5938,1.68,Warehouse,47.66353,-122.38064,1927,1.0,4,42500,0,100.0,0.0,0.9999975409828645,0.0
1595,1686405.0,34.52,Small- and Mid-Sized Office,47.66497,-122.38047,1968,1.0,2,23500,0,26.0,0.0,0.7074125136014184,0.2925874863985816
1596,579888.3125,16.67,Small- and Mid-Sized Office,47.66431,-122.37988,1966,1.0,1,22282,0,93.0,0.0,0.5282017129807216,0.47179774812240244
1607,2235765.5,44.26,Small- and Mid-Sized Office,47.719,-122.29966,1931,1.0,2,37500,0,58.0,0.0,0.7220148982529697,0.2779848781099807
1609,1164364.75,33.28,K-12 School,47.73143,-122.32784,1930,1.0,3,23983,0,61.0,0.0,0.5316186358269606,0.46838157888239057
1610,809870.8125,30.49,Distribution Center,47.55832,-122.35239,1980,1.0,1,24100,0,22.0,0.0,0.3352497655297338,0.6647504659886727
1611,100841.7031,0.7,Worship Facility,47.51709,-122.37797,1971,1.0,1,23772,0,100.0,0.0,1.0000029442184222,0.0
1613,3846501.25,128.66,K-12 School,47.66665,-122.31818,2004,3.0,2,31343,0,5.0,0.0,0.426136609210773,0.5738633257950976
1621,1286817.375,8.97,Small- and Mid-Sized Office,47.65708,-122.38383,1983,1.0,4,29722,10849,64.0,0.0,0.9999997085833566,0.0
1622,1755788.5,12.24,Small- and Mid-Sized Office,47.65649,-122.38383,1983,1.0,4,26048,15659,78.0,0.0,0.9999997152276598,0.0
1624,1700057.375,28.28,Warehouse,47.64913,-122.37929,1955,1.0,2,39497,0,9.0,0.0,0.7906033171380465,0.2093964622811627
1637,1211349.25,8.44,Small- and Mid-Sized Office,47.70793,-122.33316,1982,1.0,2,27574,0,73.0,0.0,0.9999997936185621,0.0
1641,335245.0,2.34,Retail Store,47.70747,-122.32249,1965,1.0,1,24982,0,99.0,0.0,1.0,0.0
1643,3936421.5,82.57,Senior Care Community,47.71069,-122.32674,1998,1.0,5,43661,0,4.0,0.0,0.6964942651593585,0.30350560782172337
1648,2472350.25,17.24,Small- and Mid-Sized Office,47.70842,-122.3332,1987,1.0,3,48798,27307,91.0,0.0,0.9999998988816411,0.0
1656,1900006.25,13.25,Retail Store,47.70708,-122.32251,1966,1.0,1,41615,0,69.0,0.0,0.9999998684214855,0.0
1657,1459199.75,33.42,Medical Office,47.70676,-122.32264,1988,1.0,3,28841,0,55.0,0.0,0.6546903533940436,0.34530913262560525
1664,959352.0,42.96,K-12 School,47.51698,-122.35946,1924,1.0,2,42975,0,92.0,0.0,0.1805020472152036,0.8194979527847964
1668,2619088.5,55.85,Small- and Mid-Sized Office,47.53309,-122.33977,1988,1.0,2,30659,0,88.0,0.0,0.6889373917681667,0.31106241732572226
1671,1633105.375,11.39,Medical Office,47.70558,-122.33486,1979,1.0,2,34759,0,81.0,0.0,0.9999997703761155,0.0
1672,98960776.0,3278.11,Hospital,47.71425,-122.33689,1966,8.0,1,415632,0,85.0,0.0,0.43314290502329933,0.5668570343466183
1678,5833800.0,129.89,Supermarket / Grocery Store,47.57894,-122.31287,1965,1.0,1,21603,0,16.0,0.0,0.6685278891974357,0.3314721108025644
1690,102673696.0,3238.24,Medical Office,47.62014,-122.31228,1964,1.0,3,591981,0,60.0,0.0,0.4675227820765311,0.53247712052754
1691,436252.5,3.04,Distribution Center,47.53158,-122.33568,1979,1.0,1,42900,0,53.0,0.0,1.0000011461252372,0.0
1698,313528.0938,2.19,Warehouse,47.59783,-122.31554,1956,1.0,2,25840,0,92.0,0.0,0.9999997008242584,0.0
1701,1981115.25,19.12,Small- and Mid-Sized Office,47.59728,-122.31587,2001,1.0,5,48237,22095,89.0,0.0,0.9419462093384017,0.05805366447005039
1726,12250422.0,326.74,Supermarket / Grocery Store,47.6899,-122.37619,1994,1.0,1,45522,0,22.0,0.0,0.5730178927713674,0.4269819439689506
1733,2826828.0,23.6,Small- and Mid-Sized Office,47.56999,-122.34703,1997,1.0,2,40657,0,57.0,0.0,0.9701347234426715,0.02986527655732857
1745,3652708.75,184.0,Residence Hall,47.6073,-122.32585,1904,1.0,1,44086,0,29.0,0.5257671447251303,0.33370960660359245,0.1405233855559932
1746,1403820.0,9.79,Small- and Mid-Sized Office,47.60663,-122.32526,1970,1.0,7,33548,20824,94.0,0.0,1.0,0.0
1754,25311526.0,1110.07,Medical Office,47.60862,-122.32372,1945,1.0,0,274568,0,52.0,0.5253041242949951,0.4746957966896188,0.0
1755,1245923.75,62.23,Small- and Mid-Sized Office,47.60819,-122.32282,1956,1.0,3,21282,0,69.0,0.6120296787825098,0.38796997007240613,0.0
1762,409578.4063,2.86,Small- and Mid-Sized Office,47.72986,-122.29278,1985,1.0,3,20590,12990,100.0,0.0,1.000001449539309,0.0
1766,113130.0,2.69,Warehouse,47.72051,-122.30103,1977,1.0,1,21936,0,100.0,0.0,0.6349067444532839,0.3650932555467162
1778,3046543.0,21.24,Small- and Mid-Sized Office,47.56877,-122.36369,1988,1.0,2,66484,0,69.0,0.0,1.0,0.0
1779,1356874.75,62.05,Small- and Mid-Sized Office,47.60789,-122.32249,1959,1.0,3,25151,0,85.0,0.5519925015186553,0.44800745241961354,0.0
1780,2640980.25,112.34,Hotel,47.60958,-122.32646,1928,1.0,6,35770,0,56.0,0.0,0.2291372682548459,0.770862637083333
1782,3239754.0,101.31,Hotel,47.60981,-122.32687,1928,1.0,9,48006,0,85.0,0.0,0.47331927053720746,0.5266807294627925
1806,2190460.0,24.31,Small- and Mid-Sized Office,47.62481,-122.35762,1984,1.0,4,41298,15812,69.0,0.0,0.910536599618345,0.089463400381655
1811,1748629.875,22.26,Small- and Mid-Sized Office,47.61833,-122.35871,1979,1.0,3,34030,0,50.0,0.0,0.8751594730703088,0.12484059841422988
1818,1642471.5,38.57,Distribution Center,47.5746,-122.32637,1952,1.0,1,41308,0,7.0,0.0,0.6421828323961786,0.3578168631845362
1861,985401.8125,33.8,Warehouse,47.65674,-122.37223,1957,1.0,1,38255,0,12.0,0.0,0.40777781703136456,0.5922223732463451
1870,2282551.25,59.24,Small- and Mid-Sized Office,47.65103,-122.35541,1989,1.0,3,48924,0,71.0,0.0,0.5885401258788823,0.4114597645945518
1875,1602084.375,11.17,Small- and Mid-Sized Office,47.64168,-122.32562,1959,1.0,4,32297,18036,88.0,0.0,0.9999997659299311,0.0
1878,1994967.75,13.91,Small- and Mid-Sized Office,47.64113,-122.32625,2000,1.0,3,35224,21908,73.0,0.0,0.999999624054073,0.0
1884,968026.3125,26.73,Worship Facility,47.52172,-122.35487,1957,1.0,2,24224,0,52.0,0.0,0.5526037805919661,0.44739589658623047
1885,400770.9063,13.12,Worship Facility,47.51989,-122.35489,1963,1.0,1,23706,0,78.0,0.0,0.4413219553108065,0.5586782784886
1893,2842819.5,55.86,Supermarket / Grocery Store,47.52262,-122.26922,1959,1.0,1,67450,0,97.0,0.0,0.7252497036832624,0.2747501204350118
1899,1234095.5,60.57,Small- and Mid-Sized Office,47.63063,-122.37428,1979,1.0,2,37616,5400,100.0,0.0,0.0873700617172658,0.9126303434377647
1901,638507.125,24.76,Small- and Mid-Sized Office,47.63128,-122.37387,1940,1.0,2,20671,0,98.0,0.0,0.31060107590811925,0.6893987283227262
1903,499828.5938,14.36,Warehouse,47.58065,-122.33356,1927,1.0,1,21600,0,57.0,0.0,0.5284891726416473,0.471511640036949
1907,866126.375,6.04,Worship Facility,47.50959,-122.37417,1977,1.0,1,35844,0,14.0,0.0,0.9999995670377778,0.0
1908,1639136.25,18.87,Small- and Mid-Sized Office,47.66116,-122.34172,1916,1.0,3,31774,0,85.0,0.0,0.9015888703577876,0.09841097712285968
1922,709990.8125,4.95,Warehouse,47.56121,-122.33872,1953,1.0,1,26094,0,19.0,0.0,1.0000002640879244,0.0
1923,1084553.75,7.56,Small- and Mid-Sized Office,47.56121,-122.33872,1983,1.0,2,23687,0,68.0,0.0,1.000000230509553,0.0
1924,1435562.75,10.01,Small- and Mid-Sized Office,47.56121,-122.33872,1983,1.0,2,24221,0,20.0,0.0,1.000000174147734,0.0
1925,5381105.0,37.51,Mixed Use Property,47.60546,-122.34091,1900,1.0,2,57836,14083,37.0,0.0,0.9999998141645629,0.0
1926,3999505.25,128.41,Small- and Mid-Sized Office,47.60546,-122.34091,1900,1.0,2,32027,0,54.0,0.0,0.4552100537935286,0.54478988369874
1929,2018385.75,50.07,Small- and Mid-Sized Office,47.58802,-122.32111,1914,1.0,3,34425,0,84.0,0.0,0.6134461660760337,0.38655395778532425
1934,1961581.5,13.67,Medical Office,47.57296,-122.38643,1984,1.0,3,28304,12000,5.0,0.0,0.999999745103632,0.0
1939,1280263.75,42.45,Distribution Center,47.52878,-122.32771,1990,1.0,1,29619,0,50.0,0.0,0.4325179089074419,0.5674822863648213
1941,1431784.0,54.24,K-12 School,47.59692,-122.30601,1922,1.0,2,21592,0,47.0,0.0,0.33007213378554306,0.6699278662144569
1943,805643.5,19.51,K-12 School,47.69061,-122.31992,1931,1.0,2,23923,0,69.0,0.0,0.6262310811171442,0.37376829826095537
1944,1748444.25,37.08,Small- and Mid-Sized Office,47.59976,-122.31441,1907,1.0,3,25200,0,47.0,0.0,0.691415239576555,0.30858461743918914
1945,284857.3125,8.59,Small- and Mid-Sized Office,47.59973,-122.31331,1947,1.0,1,45068,0,100.0,0.0,0.49773691521434965,0.5022619877451803
1946,1328461.25,9.26,Small- and Mid-Sized Office,47.59693,-122.31124,1963,1.0,2,28296,0,80.0,0.0,0.9999998118123505,0.0
1949,1965075.625,22.48,Small- and Mid-Sized Office,47.61744,-122.30514,1999,1.0,3,31357,0,55.0,0.0,0.9031021388807874,0.09689754306529552
1950,1157976.5,8.07,Distribution Center,47.55945,-122.33601,1968,1.0,1,160000,0,94.0,0.0,1.0000004317876918,0.0
1951,4590246.5,174.62,Warehouse,47.55601,-122.33627,1960,1.0,1,53550,0,11.0,0.0,0.3265680829994642,0.6734318080739237
1952,1628540.0,67.05,Warehouse,47.55716,-122.33744,1924,1.0,1,38412,0,62.0,0.0,0.25869429059157284,0.7413057094084272
1960,655422.375,19.61,Small- and Mid-Sized Office,47.55498,-122.32497,1953,1.0,1,24291,0,98.0,0.0,0.5027094169618485,0.497291536621709
1961,1269847.75,8.85,Warehouse,47.55458,-122.32639,1966,1.0,1,36544,0,5.0,0.0,0.999999409378014,0.0
1964,659761.875,17.04,Distribution Center,47.5822,-122.321,1947,1.0,1,21349,0,70.0,0.0,0.5911890558999032,0.40881113356239324
1965,416885.5938,2.91,Warehouse,47.58082,-122.32031,1936,1.0,1,38630,0,33.0,0.0,1.0000009743680427,0.0
1971,642645.1875,4.48,Refrigerated Warehouse,47.58252,-122.32193,1951,1.0,1,41550,0,94.0,0.0,0.9999997082371367,0.0
1974,2203758.5,102.35,K-12 School,47.55095,-122.27978,1912,1.0,2,42252,0,49.0,0.0,0.14445820628712266,0.855542020597992
1976,440419.1875,12.92,Worship Facility,47.5419,-122.28302,1981,1.0,3,22895,0,96.0,0.0,0.5153908059466642,0.48460876832256544
1977,1267463.125,8.84,Retail Store,47.53922,-122.28295,2002,1.0,2,36740,17471,100.0,0.0,0.9999999013778014,0.0
1991,808968.1875,18.03,Warehouse,47.59294,-122.32555,1937,1.0,1,52325,0,67.0,0.0,0.6680472833797312,0.3319524848435403
1994,162960.0,1.14,Retail Store,47.58698,-122.32397,1944,1.0,1,25880,0,100.0,0.0,1.0,0.0
1995,819354.625,12.55,Warehouse,47.58336,-122.32525,1960,1.0,1,45842,0,99.0,0.0,0.8191654498807522,0.18083378732377328
1998,1167887.75,40.85,Warehouse,47.57895,-122.32551,1966,1.0,1,20520,0,20.0,0.0,0.3929119044188964,0.6070883096427717
1999,495481.0,3.45,Warehouse,47.57833,-122.32563,1945,1.0,1,22972,0,12.0,0.0,1.0,0.0
2000,523614.0938,8.7,Warehouse,47.57934,-122.32501,1953,1.0,1,24990,0,80.0,0.0,0.7910654142136463,0.2089344066467907
2003,735907.8125,17.29,Distribution Center,47.56758,-122.32638,1966,1.0,1,24354,0,10.0,0.0,0.6417651667477032,0.35823508803964493
2004,847419.375,15.35,Distribution Center,47.56823,-122.32506,1959,1.0,1,33600,0,58.0,0.0,0.7585311582001533,0.2414683992798725
2008,1610794.75,59.0,Refrigerated Warehouse,47.5668,-122.32149,1957,1.0,1,25520,0,100.0,0.0,0.3571814472328023,0.6428180871585284
2024,920430.625,6.42,Small- and Mid-Sized Office,47.70008,-122.30321,1974,1.0,2,24291,0,87.0,0.0,0.9999993209700079,0.0
2025,526752.8125,3.67,Retail Store,47.70053,-122.3038,1958,1.0,2,20738,0,44.0,0.0,1.0000003559544355,0.0
2029,2654316.0,18.5,Medical Office,47.7044,-122.32285,1986,1.0,2,21329,7056,1.0,0.0,0.999999623255106,0.0
2036,1139980.625,38.87,Small- and Mid-Sized Office,47.57013,-122.3244,1983,1.0,1,23143,0,75.0,0.0,0.41212367096151303,0.5878766579914462
2038,405050.4063,2.82,Warehouse,47.57294,-122.32811,1952,1.0,1,39600,0,85.0,0.0,0.9999989969149675,0.0
2039,468396.9063,9.25,Warehouse,47.57199,-122.32811,1952,1.0,1,39600,0,91.0,0.0,0.7230683965770677,0.2769318034669522
2040,1108310.875,16.5,Distribution Center,47.57747,-122.32844,1937,1.0,1,41248,0,37.0,0.0,0.8284850584002436,0.17151505438399672
2045,1228113.5,43.64,Worship Facility,47.57177,-122.38716,1948,1.0,2,35864,0,75.0,0.0,0.38093628968332327,0.619064117445171
2049,822636.625,38.38,Worship Facility,47.55464,-122.31576,1954,1.0,1,20484,0,69.0,0.0,0.13984667896350955,0.860152561284273
2050,1849331.25,12.89,Medical Office,47.66169,-122.28558,1984,1.0,4,27642,17622,4.0,0.0,0.9999998648159977,0.0
2056,2563985.5,17.87,Small- and Mid-Sized Office,47.63567,-122.32522,1960,1.0,2,34110,0,31.0,0.0,0.9999998049910969,0.0
2067,533742.8125,3.72,Warehouse,47.57832,-122.32649,1970,1.0,1,43390,0,87.0,0.0,1.0000003512927866,0.0
2068,419978.6875,9.29,Warehouse,47.58238,-122.32719,1959,1.0,1,35400,0,84.0,0.0,0.6714769306001986,0.32852381348517834
2069,858701.0,8.22,Distribution Center,47.58517,-122.32853,1966,1.0,1,28144,0,19.0,0.0,0.9436928570014476,0.05630714299855247
2070,2491238.25,43.17,Warehouse,47.5842,-122.32826,1916,1.0,3,71283,0,41.0,0.0,0.7755035071414788,0.22449639250681866
2072,1042652.625,7.27,Small- and Mid-Sized Office,47.58895,-122.32833,1979,1.0,2,47368,0,99.0,0.0,1.000000359659575,0.0
2074,2602213.75,41.96,Small- and Mid-Sized Office,47.60592,-122.31367,1984,1.0,5,49825,22788,84.0,0.0,0.8016316876351914,0.19836840843685496
2076,1519952.125,50.76,Retail Store,47.56514,-122.28781,1968,1.0,1,36071,0,97.0,0.0,0.42722069288860004,0.5727792248719676
2092,1046187.625,18.04,Small- and Mid-Sized Office,47.61345,-122.3198,1907,1.0,2,36000,0,95.0,0.0,0.777351003363283,0.22264935508102573
2095,1162163.125,26.52,Mixed Use Property,47.61324,-122.31724,1913,1.0,1,36000,0,59.0,0.0,0.656569618830403,0.3434302736115466
2096,1929851.5,49.18,Warehouse,47.61467,-122.31777,1915,1.0,2,43200,0,38.0,0.0,0.5987999594787474,0.40119978143396007
2097,2912454.75,46.85,Small- and Mid-Sized Office,47.59501,-122.32852,1913,1.0,4,40970,12870,71.0,0.0,0.8024835407314054,0.19751620175386417
2098,1164537.75,23.5,Retail Store,47.58801,-122.32944,1975,1.0,1,43794,0,88.0,0.0,0.7136599908418598,0.2863402238355949
2099,2701833.75,78.57,Warehouse,47.57466,-122.33089,1968,1.0,1,48280,0,18.0,0.0,0.5208170191818797,0.47918307334786975
2101,8839812.0,219.93,Supermarket / Grocery Store,47.68269,-122.28912,1965,1.0,1,32822,0,42.0,0.0,0.6118570168686845,0.3881428700067377
2104,809291.8125,34.04,Worship Facility,47.68061,-122.29002,1950,1.0,2,20385,0,65.0,0.0,0.23954029560876103,0.7604599360752831
2105,216115.0,1.51,Worship Facility,47.67984,-122.27739,1946,1.0,1,24295,0,53.0,0.0,1.0,0.0
2106,620994.3125,4.33,Small- and Mid-Sized Office,47.66888,-122.28333,1967,1.0,2,20317,0,83.0,0.0,0.9999994967747793,0.0
2109,9851260.0,260.32,Supermarket / Grocery Store,47.66824,-122.28394,1973,1.0,1,24377,0,6.0,0.0,0.5783618542196632,0.4216381457803367
2119,2186148.5,41.77,Warehouse,47.5316,-122.333,1966,1.0,1,32000,0,3.0,0.0,0.7370107748856036,0.26298899640166257
2120,4302455.5,175.53,Warehouse,47.5316,-122.333,1970,1.0,1,44000,0,15.0,0.0,0.2668529633833517,0.7331471528293553
2121,2771820.5,124.4,Warehouse,47.5316,-122.333,1973,1.0,1,36000,0,44.0,0.0,0.17834776819061696,0.8216524121962443
2124,2373568.25,59.14,Warehouse,47.52549,-122.33064,1979,1.0,1,48020,0,71.0,0.0,0.6111086125288371,0.38889128214450963
