,SiteEnergyUse(kBtu),TotalGHGEmissions,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,proportion_SteamUse(kBtu),proportion_Electricity(kBtu),proportion_NaturalGas(kBtu)
745,859236.625,24.02,Retail Store,47.72736,-122.34579,1968,1.0,1,48139,0,98.0,0.0,0.5451373770292904,0.4548618955808593
750,965651.125,43.8,Worship Facility,47.56633,-122.38725,1949,1.0,2,21364,0,86.0,0.0,0.16799027702680924,0.8320095935268548
773,1169394.875,18.1,Retail Store,47.6646,-122.29932,1996,1.0,1,25735,0,82.0,0.0,0.8155457325738664,0.18445437431902548
775,4801472.0,154.17,Retail Store,47.66246,-122.29898,1956,1.0,2,25862,0,20.0,0.0,0.45517770383748984,0.5448222961625102
776,3377209.75,29.54,Retail Store,47.66246,-122.29898,2003,1.0,2,49965,0,82.0,0.0,0.9615026132149477,0.03849716470823288
780,511797.4063,14.22,Small- and Mid-Sized Office,47.6026,-122.33232,1929,1.0,2,20028,0,95.0,0.29648938844182654,0.7035107946384292,0.0
782,552007.5,9.95,Small- and Mid-Sized Office,47.60247,-122.33372,1900,1.0,7,23622,0,100.0,0.0,0.7605838688785931,0.23941522533661228
783,883197.6875,6.16,Small- and Mid-Sized Office,47.60237,-122.33365,1902,1.0,3,23563,0,67.0,0.0,1.0000003538279192,0.0
785,2186018.5,15.24,Mixed Use Property,47.60427,-122.33385,1978,1.0,2,26160,12379,55.0,0.0,0.9999997712736649,0.0
786,1989287.0,13.87,Small- and Mid-Sized Office,47.60427,-122.33385,1906,1.0,5,26840,0,24.0,0.0,1.0,0.0
787,1245187.5,8.68,Retail Store,47.60427,-122.33385,1906,1.0,2,46800,0,86.0,0.0,0.9999995984540481,0.0
788,2067352.5,14.63,Small- and Mid-Sized Office,47.60431,-122.33335,1979,1.0,3,37350,26640,51.0,0.0,0.9977108403138797,0.0022889178308972465
789,1345025.75,28.81,Small- and Mid-Sized Office,47.61285,-122.34817,1908,1.0,3,28800,0,50.0,0.0,0.6869043213484947,0.31309586452155286
792,1696978.75,60.43,Small- and Mid-Sized Office,47.6172,-122.34979,1954,1.0,3,28584,4968,75.0,0.0,0.3793058693280632,0.6206942779925795
793,1560461.75,33.78,Retail Store,47.61652,-122.34854,1931,1.0,2,26270,0,32.0,0.0,0.6819135425780222,0.31808597679500955
794,2385395.0,16.63,Small- and Mid-Sized Office,47.61595,-122.34756,1926,1.0,3,49800,7820,50.0,0.0,1.0,0.0
797,2443065.25,66.29,Hotel,47.61471,-122.34525,1990,1.0,5,57800,0,87.0,0.0,0.5629956056228953,0.437004292046641
805,1858224.625,12.95,Other,47.61319,-122.33695,1955,1.0,2,31890,0,2.0,0.0,0.9999996636574547,0.0
806,1441900.5,41.69,Small- and Mid-Sized Office,47.61267,-122.33852,1925,1.0,2,30438,13660,53.0,0.31245034764881485,0.6875495223144732,0.0
815,1553208.375,10.83,Medical Office,47.6146,-122.34217,1952,1.0,4,26670,0,51.0,0.0,0.9999785122199074,2.1246344361232278e-05
829,2669564.25,72.78,Hotel,47.61822,-122.34132,1967,1.0,4,44416,0,61.0,0.0,0.5602198935650265,0.439780012786731
847,1145535.75,36.43,Worship Facility,47.66476,-122.35248,1928,1.0,2,45991,0,77.0,0.0,0.46181797469000857,0.5381822435484881
858,605130.6875,4.22,Residence Hall,47.66282,-122.305,1921,1.0,3,21499,0,85.0,0.0,0.9999988638817793,0.0
859,1791071.375,13.91,Small- and Mid-Sized Office,47.66461,-122.30142,1989,1.0,2,20384,0,16.0,0.0,0.9827179556146945,0.01728239333845643
862,6778694.0,63.61,Retail Store,47.66246,-122.29898,1956,1.0,2,54284,0,18.0,0.0,0.9477046758564408,0.05229517662251755
